grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
4102060,4,2,ALSEK RIVER,"DRY BAY NEAR YAKUTAT, AK",US,59.1906,-138.3267,28490,-999,2011,2018,8,0,,,,,2011,2018,8,1306.893,41.21417765,1446.619082
4102100,4,2,KUSKOKWIM RIVER,"CROOKED CREEK, ALAS.",US,61.8704,-158.1032,80549,60.96,1951,2018,68,1.484886701,,,,,1951,2018,68,1195.944,37.71528998,468.2279108
4102110,4,2,KUSKOKWIM RIVER,MCGRATH AK,US,62.9522,-155.5887,30303,91.44,1963,1973,11,0,1963,1973,11,0,1963,1973,11,383.381,12.09030322,398.9804051
4102200,4,2,NUYAKUK RIVER,"NEAR DILLINGHAM, AK",US,59.9348,-158.19,3859.1,99.06,1953,2019,67,13.08079558,,,,,1953,2019,67,181.539,5.725013904,1483.51012
4102300,4,2,KNIK RIVER,"NEAR PALMER, AK",US,61.5045,-149.0328,3056.2,9.2,1959,2018,60,31.81797118,,,,,1959,2018,60,200.37,6.31886832,2067.557202
4102310,4,2,MATANUSKA RIVER,"PALMER, AK",US,61.6086,-149.073,5361.3,52.1,1949,2018,70,34.84752975,,,,,1949,2018,70,111.963,3.530865168,658.5837704
4102400,4,2,UNALAKLEET RIVER,"ABOVE CHIROSKEY RIVER NEAR UNALAKLEET,AK",US,63.93,-160.31,2714,12.19,1997,2007,11,12.41415742,,,,,1997,2007,11,44.219,1.394490384,513.8137008
4102450,4,2,TALKEETNA RIVER,"NEAR TALKEETNA, ALAS.",US,62.3464,-150.0192,5169.6,121.92,1964,2019,56,0,,,,,1964,2019,56,114.453,3.609389808,698.1951811
4102500,4,2,MENDENHALL RIVER,"NEAR AUKE BAY, AK",US,58.4297,-134.5728,220.4,-999,1965,2018,54,3.801945181,,,,,1965,2018,54,34.182,1.077963552,4890.941706
4102600,4,2,TAKU RIVER,"NEAR JUNEAU, AK",US,58.54,-133.7,17094,15.24,1987,2019,33,0,,,,,1987,2019,33,384.311,12.1196317,708.9991632
4102700,4,2,COPPER RIVER,"NEAR CHITINA, ALAS.",US,61.4651,-144.4579,53354,121.92,1950,1990,41,10.97129642,1950,1990,41,10.97308489,1950,1990,41,1073.614,33.8574911,634.5820577
4102705,4,2,WOLVERINE CREEK,"NEAR LAWING, AK",US,60.3706,-148.8967,24.6,-999,1966,2017,52,57.04029147,,,,,1966,2017,52,2.46,0.07757856,3153.6
4102710,4,2,COPPER RIVER,"MILLION DOLLAR BRIDGE NEAR CORDOVA, AK.",US,60.6711,-144.7467,62678,45.72,1988,2019,32,46.0335689,1988,1995,8,0,1988,2019,32,1845.919,58.21290158,928.7613131
4102720,4,2,GULKANA RIVER,"SOURDROUGH, AK",US,62.5204,-145.533,4584.3,562.65,1972,2019,48,33.76364276,,,,,1972,2019,48,33.656,1.061375616,231.5240311
4102740,4,2,NUSHAGAK RIVER,"EKWOK, AK",US,59.3484,-157.4752,25511.5,27.43,1977,1993,17,0,1977,1993,17,0,1977,1993,17,665.512,20.98758643,822.6715964
4102750,4,2,NEWHALEN RIVER,"NEAR ILIAMNA, AK",US,59.8588,-154.8755,9008,64.01,1951,1986,36,41.3482448,1951,1986,36,40.66193853,1951,1986,36,259.504,8.183718144,908.4944654
4102800,4,2,SUSITNA RIVER,SUSITNA STATION AK,US,61.5442,-150.5147,50246,12.192,1974,2014,41,50.40728318,1974,1993,20,0,1974,2014,41,1426.722,44.99310499,895.4564541
4102805,4,2,SKWENTNA RIVER,"NEAR SKWENTNA, AK",US,61.8725,-151.3691,5827.5,60.96,1959,1982,24,0,1959,1982,24,0,1959,1982,24,187.923,5.926339728,1016.960914
4102810,4,2,SUSITNA RIVER,SUNSHINE AK,US,62.1778,-150.1772,28749,82.296,1981,2015,35,73.25655282,1981,1986,6,0,1981,2015,35,706.284,22.27337222,774.7529383
4102820,4,2,SUSITNA RIVER,"GOLD CREEK, AK",US,62.7673,-149.6934,15954,206.197,1949,2018,70,6.716536056,1949,2001,53,8.785942492,1949,2018,70,279.438,8.812356768,552.360334
4102830,4,2,DESHKA RIVER,"NEAR WILLOW, AK",US,61.7675,-150.3392,1530.7,24.38,1978,2001,24,52.17236043,,,,,1978,2001,24,25.547,0.805650192,526.3279493
4102850,4,2,KENAI RIVER,"SOLDOTNA, AK",US,60.4769,-151.0817,5053,10.772,1965,2019,55,0,1965,2001,37,0,1965,2019,55,172.214,5.430940704,1074.795311
4102851,4,2,KENAI RIVER,"BELOW KILLEY RIVER NEAR STERLING, AK",US,60.4905,-150.6328,3874.6,70.1,1997,2007,11,1.100340582,,,,,1997,2007,11,170.905,5.38966008,1391.02361
4102852,4,2,KENAI RIVER,"BELOW SKILAK LAKE OUTLET, AK",US,60.4661,-150.6011,3123.5,73.15,1997,2018,22,0.355917122,,,,,1997,2018,22,154.04,4.85780544,1555.244258
4103200,4,3,YUKON RIVER,"PILOT STATION, AK",US,61.9337,-162.8829,831390,6.1,1975,2019,45,10.4418429,,,,,1975,2019,45,6558.627,206.8328611,248.7795873
4103250,4,3,ANVIK RIVER,"NEAR ANVIK, AK",US,62.78,-160.69,3677.8,49,2001,2006,6,0,,,,,2001,2006,6,52.533,1.656680688,450.4542629
4103300,4,3,YUKON RIVER,"NEAR KALTAG, ALAS.",US,64.3271,-158.7219,766640,30.48,1956,1966,11,0,1956,1966,11,0,1956,1966,11,6260.965,197.4457922,257.546948
4103400,4,3,NATION RIVER,"NEAR NATION, AK",US,65.2394,-141.6552,2411.3,259.08,1991,2003,13,36.28259416,,,,,1991,2003,13,24.638,0.776983968,322.2261718
4103450,4,3,YUKON RIVER,"RUBY, ALAS.",US,64.7405,-155.4919,670810,45.72,1956,1978,23,0,1956,1984,29,4.424778761,1956,1984,29,4773.912,150.5500888,224.4302989
4103451,4,3,MELOZITNA RIVER,"NEAR RUBY, ALAS.",US,64.7922,-155.5633,6974.8,57.91,1961,1973,13,0.112739572,1961,1973,13,3.424657534,1961,1973,13,57.647,1.817955792,260.646297
4103500,4,3,KOYUKUK RIVER,"HUGHES, ALAS.",US,66.047,-154.261,47656,76.2,1960,1982,23,1.615625754,1960,1982,23,0.732600733,1960,1982,23,406.362,12.81503203,268.9070008
4103505,4,3,KOYUKUK RIVER,"NEAR WISEMAN, ALAS.",US,67.4379,-150.0777,3108,335.28,1970,1987,18,29.13875598,1970,1987,18,34.95145631,1970,1987,18,21.759,0.686191824,220.7824402
4103520,4,3,YUKON RIVER,RAMPART AK,US,65.5065,-150.1734,516446,91.44,1954,1967,14,4.894514768,1954,1967,14,3.205128205,1954,1967,14,3616.931,114.063536,220.8624639
4103530,4,3,HESS CREEK,"NEAR LIVENGOOD, AK",US,65.6648,-149.0989,1714.5,137,1970,2015,46,55.85781647,,,,,1970,2015,46,7.203,0.227153808,132.4898268
4103540,4,3,TOLOVANA RIVER,"NEAR LIVENGOOD, AK",US,65.4715,-148.2689,360,137,2010,2013,4,0,,,,,2010,2013,4,2.266,0.071460576,198.5016
4103550,4,3,YUKON RIVER,NEAR STEVENS VILLAGE AK,US,65.8751,-149.7203,508417,73.15,1976,2019,44,0,1976,2001,26,0,1976,2019,44,3445.674,108.6627753,213.7276591
4103560,4,3,EAST FORK CHANDALAR RIVER,"NEAR VENETIE, ALAS.",US,67.0966,-147.1871,24164.7,243.84,1963,1973,11,0,1963,1973,11,14.63414634,1963,1973,11,136.862,4.316080032,178.6109504
4103570,4,3,CHISANA RIVER,"NORTHWAY JUNCTION, ALAS.",US,63.0061,-141.8069,8495.2,512.93,1949,1971,23,0,1949,1971,23,0,1949,1971,23,66.227,2.088534672,245.8487937
4103600,4,3,TANANA RIVER,"NENANA, ALAS.",US,64.5648,-149.0941,66304,103.175,1962,2019,58,0,1962,2001,40,0,1962,2019,58,693.992,21.88573171,330.0816197
4103601,4,3,TANANA RIVER,NEAR HARDING LAKE AK,US,64.4,-146.94,44651.6,-999,,,,,1969,1985,17,78.125,1969,1985,17,268.598,8.470506528,189.7021949
4103602,4,3,TANANA RIVER,"FAIRBANKS, AK",US,64.7923,-147.8413,-999,121.92,1973,2019,47,0,,,,,1973,2019,47,577.958,18.22648349,n.a.
4103610,4,3,TANANA RIVER,BIG DELTA AK,US,64.1552,-145.8523,34965,293.51,1948,1957,10,11.14138662,1948,1957,10,11.00917431,1948,1957,10,420.744,13.26858278,379.4818471
4103615,4,3,GOODPASTER RIVER,"NEAR BIG DELTA, AK",US,64.4502,-144.9446,1753.4,411.48,1997,2019,23,0,,,,,1997,2019,23,14.761,0.465502896,265.4858538
4103620,4,3,NENANA RIVER,"NEAR REX, ALAS.",US,64.2176,-149.2801,6345.5,210.31,1964,1968,5,0,1964,1968,5,0,1964,1968,5,126.324,3.983753664,627.8076848
4103621,4,3,NENANA RIVER,"HEALY, ALAS.",US,63.8537,-148.9579,5438.9,411.48,1990,2007,18,77.72199561,1990,1991,2,0,1990,2007,18,n.a.,n.a.,n.a.
4103622,4,3,NENANA RIVER,"NEAR HEALY, ALAS.",US,63.8448,-148.9459,4946.9,387.16,1950,1979,30,0,1950,1979,30,0,1950,1979,30,99.614,3.141427104,635.0294334
4103630,4,3,CHENA RIVER,"FAIRBANKS, AK",US,64.8454,-147.7035,5167,128.91,1947,2019,73,0.755552164,1947,2001,55,0.923076923,1947,2019,73,38.956,1.228516416,237.7620314
4103631,4,3,CHENA RIVER,"BELOW MOOSE CREEK DAM, ALAS.",US,64.8004,-147.2302,3781.4,149.35,1979,2018,40,30.55167598,1979,1996,18,0,1979,2018,40,28.416,0.896126976,236.9828571
4103632,4,3,CHENA RIVER,"NEAR N POLE, ALAS.",US,64.796,-147.2013,3742.5,145.72,1972,1980,9,0,1972,1980,9,0,1972,1980,9,20.926,0.659922336,176.3319535
4103633,4,3,CHENA RIVER,"NEAR TWO RIVERS, AK",US,64.9024,-146.3594,2426.8,219.36,1967,2019,53,0,,,,,1967,2019,53,20.582,0.649073952,267.460834
4103635,4,3,LITTLE CHENA RIVER,"NEAR FAIRBANKS, AK",US,64.8857,-147.2496,963.4,141,1966,2018,53,0,,,,,1966,2018,53,5.946,0.187513056,194.6367615
4103650,4,3,SALCHA RIVER,"NEAR SALCHAKET, ALAS.",US,64.4724,-146.9263,5620.3,192.59,1948,2019,72,0.617763618,1948,2001,54,0,1948,2019,72,46.251,1.458571536,259.5184485
4103700,4,3,PORCUPINE RIVER,"NEAR FORT YUKON, ALAS.",US,66.9903,-143.1404,76405,158.496,1964,1979,16,0,1964,1979,16,1.098901099,1964,1979,16,414.723,13.07870453,171.1760294
4103710,4,3,PORCUPINE RIVER,NEAR INTERNATIONAL BOUNDARY YT,US,67.4239,-140.8938,59829,-999,1987,2017,31,0,1987,2000,14,0,1987,2017,31,348.667,10.99556251,183.7831572
4103750,4,3,TANANA RIVER,"NEAR TANACROSS, ALAS.",US,63.388,-143.7486,22144.5,454.024,1953,1990,38,0.931586608,1953,1990,38,0.663716814,1953,1990,38,228.894,7.218401184,325.9681268
4103751,4,3,TANANA RIVER,"NEAR TOK JUNCTION, ALAS.",US,63.3162,-142.6439,17612,489.103,1950,1953,4,0,1950,1953,4,0,1950,1953,4,186.627,5.885469072,334.173806
4103800,4,3,YUKON RIVER,EAGLE AK,US,64.7892,-141.2001,293965,259.08,1950,2019,70,0,1950,2001,52,0,1950,2019,70,2397.188,75.59772077,257.1657196
4103810,4,3,KANDIK RIVER,"NEAR NATION, ALAS.",US,65.3952,-142.4304,2807.6,230.12,1994,2000,7,27.43131269,1994,2000,7,23.68421053,1994,2000,7,19.649,0.619650864,220.704824
4103820,4,3,FORTYMILE RIVER,"NEAR STEELE CREEK, ALAS.",US,64.3089,-141.4045,15229.2,365.76,1975,2019,45,52.88600743,1975,1982,8,16.66666667,1975,2019,45,80.757,2.546752752,167.2282689
4113300,4,13,RED RIVER,"GRAND FORKS, N.D.",US,47.9275,-97.0281,77959,237.44,1882,2018,137,0.002005455,1904,2000,97,0,1882,2018,137,91.938,2.899356768,37.19078962
4113301,4,13,RED RIVER,"DRAYTON, ND",US,48.5722,-97.1476,90132,230.12,1936,2019,84,12.59009456,,,,,1936,2019,84,139.241,4.391104176,48.71859246
4113302,4,13,RED RIVER,"HALSTAD, MN",US,47.3519,-96.8437,56462,251.96,1961,2018,58,0,,,,,1961,2018,58,75.352,2.376300672,42.08672509
4113303,4,13,RED RIVER,"FARGO, ND",US,46.8611,-96.7837,17612,262.68,1901,2018,118,0,,,,,1901,2018,118,23.404,0.738068544,41.90713968
4113304,4,13,RED RIVER,"HICKSON, ND",US,46.6597,-96.7959,11137,267.33,1975,2018,44,0.196638122,,,,,1975,2018,44,28.282,0.891901152,80.08450678
4113305,4,13,RED RIVER,"WAHPETON, ND",US,46.2652,-96.5948,10385.9,287.42,1942,2018,77,0.429461026,,,,,1942,2018,77,21.353,0.673388208,64.83676985
4113306,4,13,WILD RICE RIVER,"TWIN VALLEY, MN",US,47.26,-96.24,2419,307,1909,2018,110,17.14249937,,,,,1909,2018,110,6.196,0.195397056,80.77596362
4113307,4,13,GOOSE RIVER,"HILLSBORO, ND",US,47.4,-97.06,3115.7,268,1931,2018,88,1.327917513,,,,,1931,2018,88,3.351,0.105677136,33.91762236
4113308,4,13,FOREST RIVER,"MINTO, ND",US,48.28,-97.37,1916.6,246,1944,2018,75,0,,,,,1944,2018,75,1.83,0.05771088,30.11107169
4113309,4,13,PARK RIVER,"GRAFTON, ND",US,48.42,-97.41,1800,247,1931,2018,88,0,,,,,1931,2018,88,2.117,0.066761712,37.08984
4113310,4,13,WILD RICE RIVER,"NEAR ABERCROMBIE, ND",US,46.468,-96.7837,5387.2,276.74,1932,2018,87,0,1932,2002,71,25.79881657,1932,2018,87,4.214,0.132892704,24.66823285
4113315,4,13,CLEARWATER RIVER,"RED LAKE FALLS, MN",US,47.8875,-96.2739,3574.2,289.24,1909,2018,110,15.93368063,,,,,1909,2018,110,9.763,0.307885968,86.14122545
4113320,4,13,RED LAKE RIVER,"FISHER, MN",US,47.8003,-96.809,14711.2,-999,1999,2018,20,0,,,,,1999,2018,20,41.13,1.29707568,88.16926423
4113321,4,13,RED LAKE RIVER,"CROOKSTON, MN",US,47.7755,-96.6095,13649.3,253.81,1901,2018,118,0,,,,,1901,2018,118,34.372,1.083955392,79.41472398
4113330,4,13,BOIS DE SIOUX RIVER,"NEAR DORAN, MN",US,46.1522,-96.5792,4869.2,-999,1989,2017,29,0,,,,,1989,2017,29,10.932,0.344751552,70.8025039
4113340,4,13,MAPLE RIVER,"BELOW MAPLETON, ND",US,46.9052,-97.0526,3833.2,271.27,1944,2019,76,48.29351536,,,,,1944,2019,76,4.642,0.146390112,38.19005322
4113350,4,13,PEMBINA RIVER,"WALHALLA, ND",US,48.9139,-97.917,8676.5,284.48,1939,2018,80,9.549705577,1939,2002,64,14.17218543,1939,2018,80,8.231,0.259572816,29.91676552
4113351,4,13,PEMBINA RIVER,"NECHE, ND",US,48.9897,-97.557,8831.9,246.79,1903,2019,117,3.626685593,1903,2002,100,8.71751886,1903,2019,117,7.67,0.24188112,27.38721226
4113355,4,13,BIG COULEE,"NEAR CHURCHS FERRY, ND",US,48.1778,-99.2212,6500.9,436.67,1950,1997,48,0,,,,,1950,1997,48,1.343,0.042352848,6.514920703
4113360,4,13,SHEYENNE RIVER,"NEAR WARWICK, ND",US,47.8056,-98.7162,5361.3,419.51,1949,2019,71,0,1949,2002,54,0,1949,2019,71,2.831,0.089278416,16.65238207
4113361,4,13,SHEYENNE RIVER,"NEAR COOPERSTOWN, ND",US,47.4328,-98.0276,16757.3,387.63,1944,2018,75,0,1944,2002,59,0.287356322,1944,2018,75,5.195,0.16382952,9.776606016
4113362,4,13,SHEYENNE RIVER,"VALLEY CITY, ND",US,46.9139,-98.0087,20227.9,365.54,1919,2002,84,52.99518017,,,,,1919,2002,84,3.459,0.109083024,5.392701368
4113363,4,13,SHEYENNE RIVER,"LISBON, ND",US,46.4469,-97.6763,21212.1,325.06,1956,2018,63,0,,,,,1956,2018,63,8.409,0.265186224,12.50164878
4113364,4,13,SHEYENNE RIVER,"NEAR KINDRED, ND",US,46.6316,-97.0006,22792,282.11,1949,2018,70,0,,,,,1949,2018,70,9.681,0.305300016,13.3950516
4113365,4,13,SHEYENNE RIVER,"WEST FARGO, ND",US,46.8911,-96.907,22973.3,267.37,1903,2018,116,20.35675317,,,,,1903,2018,116,8.489,0.267709104,11.65305394
4113400,4,13,SOURIS RIVER,"NEAR BANTRY, ND",US,48.5056,-100.4349,31857,435.12,1937,2019,83,0,,,,,1937,2019,83,7.515,0.23699304,7.439276768
4113401,4,13,SOURIS RIVER,"NEAR VERENDRYE, ND",US,48.1597,-100.7296,29267,446.49,1937,2018,82,0,,,,,1937,2018,82,6.733,0.212331888,7.254993269
4113402,4,13,SOURIS RIVER,"ABOVE MINOT, ND",US,48.2458,-101.3713,27454,471.14,1903,2018,116,0,,,,,1903,2018,116,5.112,0.161212032,5.872078094
4113404,4,13,WINTERING RIVER,"NEAR KARLSRUHE, ND",US,48.13,-100.53,1825.9,246,1937,2019,83,0,,,,,1937,2019,83,0.517,0.016304112,8.929356482
4113405,4,13,WILLOW CREEK,"NEAR WILLOW CITY, ND",US,48.58,-100.44,3004.4,436,1956,2019,64,0,,,,,1956,2019,64,1.715,0.05408424,18.00167754
4113406,4,13,DEEP RIVER,"NEAR UPHAM, ND",US,48.58,-100.86,714.8,436,1957,2018,62,27.83213645,,,,,1957,2018,62,0.605,0.01907928,26.69177392
4113409,4,13,SOURIS RIVER,"NEAR WESTHOPE, ND",US,48.9964,-100.9581,43771,427,1929,2019,91,0.461900829,,,,,1929,2019,91,9.796,0.308926656,7.057792968
4113410,4,13,LONG CREEK,"NEAR NOONAN, ND",US,48.9811,-103.0766,4636.1,560.83,1959,2019,61,0,,,,,1959,2019,61,1.355,0.04273128,9.217074696
4113420,4,13,DES LACS RIVER,"FOXHOLM, ND",US,48.3706,-101.5702,2432,497.73,1904,2018,115,34.13850947,,,,,1904,2018,115,0.928,0.029265408,12.03347368
4113500,4,13,SAINT MARY RIVER,"NEAR BABB, MT",US,48.83,-113.42,714.8,1362,1901,2019,119,27.0204366,,,,,1901,2019,119,21.471,0.677109456,947.2712031
4113600,4,13,LITTLE FORK RIVER,"LITTLEFORK, MINN.",US,48.3958,-93.5493,4351.2,330.28,1909,2018,110,10.74872874,1909,2002,94,12.60053619,1909,2018,110,29.923,0.943651728,216.8716051
4113900,4,13,KAWISHIWI RIVER,"NEAR ELY, MINN.",US,47.9227,-91.5351,657.9,442,1966,2019,54,0,1966,2002,37,0,1966,2019,54,5.46,0.17218656,261.7214774
4114615,4,14,"TURGEON, RIVIERE",EN AMONT DE LA RIVIERE HARRICANA,CA,49.9853,-79.0953,11200,-999,1968,2001,34,13.43417094,,,,,1968,2001,34,189.817,5.986068912,534.4704386
4115080,4,15,COWLITZ RIVER,"CASTLE ROCK, WA",US,46.2748,-122.9146,5796.4,6.16,1926,2019,94,8.09126784,1926,2001,76,9.688195991,1926,2019,94,261.29,8.24004144,1421.579159
4115081,4,15,COWLITZ RIVER,"BELOW MAYFIELD DAM, WA",US,46.5104,-122.6162,3626,69.07,1934,2019,86,0,,,,,1934,2019,86,177.902,5.610317472,1547.246959
4115082,4,15,COWLITZ RIVER,"PACKWOOD, WA",US,46.6129,-121.6793,743.3,319.43,1911,2019,109,10.179565,,,,,1911,2019,109,45.791,1.444064976,1942.775428
4115100,4,15,WILLAMETTE RIVER,"SALEM, OR",US,44.9443,-123.0429,18855.2,32.35,1909,2019,111,5.704865621,1909,2001,93,6.793478261,1909,2019,111,656.009,20.68789982,1097.198641
4115101,4,15,WILLAMETTE RIVER,"PORTLAND, OR",US,45.5185,-122.6679,29008,0.47,1972,2019,48,0,,,,,1972,2019,48,936.849,29.54447006,1018.493866
4115102,4,15,WILLAMETTE RIVER,"HARRISBURG, OR",US,44.2704,-123.1737,8857.8,87.9,1944,2019,76,0,,,,,1944,2019,76,328.425,10.3572108,1169.275757
4115105,4,15,MCKENZIE RIVER,"NEAR WALTERVILLE, OR",US,44.0698,-122.7712,2799.8,-999,1989,2019,31,0,,,,,1989,2019,31,85.629,2.700396144,964.4960869
4115106,4,15,MCKENZIE RIVER,"NEAR VIDA, OR",US,44.1248,-122.4706,2408.7,260.82,1910,2019,110,12.32339484,,,,,1910,2019,110,114.891,3.623202576,1504.214961
4115200,4,15,COLUMBIA RIVER,"THE DALLES, OR",US,45.6073,-121.1734,613830,-999,1878,2019,142,0,1878,2001,124,0,1878,2019,142,5372.121,169.4152079,275.9969501
4115201,4,15,COLUMBIA RIVER,"BEAVER ARMY TERMINAL NEAR QUINCY, OR",US,46.1815,-123.184,665371,-999,1968,2019,52,41.36275356,,,,,1968,2019,52,6744.842,212.7053373,319.6793027
4115202,4,15,COLUMBIA RIVER,"BELOW PRIEST RAPIDS DAM, WA",US,46.6287,-119.8648,248640,118.87,1917,2019,103,0,,,,,1917,2019,103,3373.409,106.3838262,427.862879
4115203,4,15,COLUMBIA RIVER,"BELOW ROCK ISLAND DAM, WA",US,47.3324,-120.0812,231546,152.4,1961,2019,59,0,,,,,1961,2019,59,3301.11,104.103805,449.603124
4115204,4,15,COLUMBIA RIVER,"ROCKY REACH DAM, WA",US,47.5243,-120.3023,227402,-999,1960,2019,60,0,,,,,1960,2019,60,3229.907,101.8583472,447.9219495
4115205,4,15,COLUMBIA RIVER,"BELOW WELLS DAM, WA",US,47.9465,-119.8667,222999,213.36,1967,2019,53,0,,,,,1967,2019,53,3165.876,99.83906554,447.7108217
4115206,4,15,COLUMBIA RIVER,"GRAND COULEE, WA",US,47.9654,-118.9828,193473,274.32,1923,2019,97,4.616221167,,,,,1923,2019,97,3047.762,96.11422243,496.7836465
4115210,4,15,KLICKITAT RIVER,"NEAR PITT, WA",US,45.7565,-121.2101,3359.2,88.06,1909,2019,111,15.13087574,1909,2001,93,18.06684734,1909,2019,111,44.891,1.415682576,421.4344415
4115211,4,15,KLICKITAT RIVER,"ABOVE WEST FORK NEAR GLENWOOD, WA",US,46.2648,-121.2451,391.1,829.06,1944,2019,76,18.42481052,,,,,1944,2019,76,9.248,0.291644928,745.7042393
4115220,4,15,JOHN DAY RIVER,"SERVICE CREEK, OR",US,44.7937,-120.0067,13183,497.56,1929,2019,91,0,1929,2001,73,0,1929,2019,91,54.512,1.719090432,130.4020657
4115221,4,15,JOHN DAY RIVER,"MCDONALD FERRY, OREG",US,45.5876,-120.4095,19632.2,119.56,1904,2018,115,0.876645211,,,,,1904,2018,115,57.9,1.8259344,93.00712095
4115222,4,15,JOHN DAY RIVER,"NEAR JOHN DAY, OR",US,44.4193,-118.9038,999.7,954.19,1968,2019,52,3.154829316,,,,,1968,2019,52,5.652,0.178241472,178.2949605
4115223,4,15,NORTH FORK JOHN DAY RIVER,"MONUMENT, OR",US,44.8138,-119.4317,6526.8,597.3,1928,2018,91,0,,,,,1928,2018,91,36.557,1.152861552,176.6350359
4115224,4,15,MIDDLE FORK JOHN DAY RIVER,"RITTER, OR",US,44.8888,-119.1414,1333.9,775.58,1929,2018,90,0,,,,,1929,2018,90,7.262,0.229014432,171.6878567
4115225,4,15,CROOKED RIVER,"NEAR PRINEVILLE, OR",US,44.1132,-120.7956,6993,935.99,1941,1991,51,0,,,,,1941,1991,51,10.404,0.328100544,46.91842471
4115226,4,15,CROOKED RIVER,"BELOW OPAL SPRINGS NEAR CULVER, OR",US,44.4923,-121.2984,11137,595.46,1961,2019,59,0,,,,,1961,2019,59,43.572,1.374086592,123.3803171
4115230,4,15,WENATCHEE RIVER,"PESHASTIN, WA",US,47.5832,-120.614,2590,313.35,1929,2019,91,0,,,,,1929,2019,91,86.705,2.73432888,1055.725436
4115231,4,15,WENATCHEE RIVER,"MONITOR, WA",US,47.4993,-120.4245,3369.6,207.26,1962,2019,58,0.004822531,,,,,1962,2019,58,91.747,2.893333392,858.6578205
